Date,Description,Amount,Category,PaymentMethod,Location,AccountType,TransactionType,DeviceUsed,Currency,MerchantType,LoyaltyProgram,Weekday,Month,TimeOfDay
2025-05-11,Transaction at Amazon Prime,3327.96,Entertainment,Net Banking,San Francisco,Credit Card,Credit,Desktop,INR,Subscription,Yes,Sunday,May,Evening
2025-06-30,Transaction at Amazon Prime,4996.98,Entertainment,Debit Card,New York,Savings,Credit,ATM,INR,Online Store,No,Monday,June,Morning
2025-02-02,Transaction at Spotify,2933.63,Entertainment,Net Banking,New York,Savings,Credit,POS Terminal,INR,Service,No,Sunday,February,Evening
2025-08-16,Transaction at Disney+,3265.27,Entertainment,UPI,San Francisco,Salary,Credit,Desktop,INR,Online Store,Yes,Saturday,August,Night
2025-04-30,Transaction at Metro,4517.86,Transport,Cash,Los Angeles,Savings,Debit,Mobile,INR,Subscription,Yes,Wednesday,April,Afternoon
2025-02-28,Transaction at Starbucks,4441.94,Food,Debit Card,Houston,Current,Credit,Desktop,INR,Online Store,Yes,Friday,February,Evening
2025-12-20,Transaction at RedBus,3623.87,Transport,Cash,Los Angeles,Current,Credit,POS Terminal,INR,Subscription,No,Saturday,December,Afternoon
2025-09-21,Transaction at Dominos,4724.66,Food,Cash,San Francisco,Salary,Debit,Desktop,INR,Restaurant,Yes,Sunday,September,Night
2025-09-26,Transaction at Dell,3267.14,Electronics,Net Banking,Chicago,Credit Card,Credit,POS Terminal,INR,Retail,Yes,Friday,September,Afternoon
2025-05-25,Transaction at Sony,3425.18,Electronics,UPI,Boston,Savings,Credit,Desktop,INR,Subscription,No,Sunday,May,Evening
2025-11-11,Transaction at Levis,4008.36,Clothing,UPI,Chicago,Salary,Debit,POS Terminal,INR,Subscription,Yes,Tuesday,November,Morning
2025-04-06,Transaction at Apple,1934.32,Electronics,UPI,San Francisco,Salary,Credit,Mobile,INR,Retail,No,Sunday,April,Night
2025-07-14,Transaction at Tesco,2739.62,Grocery,Net Banking,San Francisco,Current,Credit,Desktop,INR,Subscription,No,Monday,July,Morning
2025-11-06,Transaction at Starbucks,3616.71,Food,Net Banking,Houston,Credit Card,Credit,Desktop,INR,Service,Yes,Thursday,November,Night
2025-08-11,Transaction at Zara,3917.91,Clothing,UPI,Chicago,Current,Credit,Mobile,INR,Retail,Yes,Monday,August,Afternoon
2025-06-01,Transaction at Apple,1270.5,Electronics,Debit Card,Chicago,Savings,Credit,ATM,INR,Subscription,Yes,Sunday,June,Morning
2025-09-14,Transaction at Adidas,3335.96,Clothing,UPI,Los Angeles,Savings,Credit,Desktop,INR,Subscription,Yes,Sunday,September,Morning
2025-10-26,Transaction at Walmart,1496.31,Grocery,Cash,Los Angeles,Credit Card,Credit,Desktop,INR,Subscription,Yes,Sunday,October,Night
2025-07-14,Transaction at Samsung,2354.98,Electronics,Cash,Boston,Savings,Debit,POS Terminal,INR,Restaurant,Yes,Monday,July,Evening
2025-08-16,Transaction at RedBus,3248.73,Transport,Debit Card,Boston,Current,Credit,ATM,INR,Subscription,No,Saturday,August,Morning
2025-08-06,Transaction at BigBazaar,1887.92,Grocery,Cash,San Francisco,Savings,Credit,Mobile,INR,Online Store,No,Wednesday,August,Afternoon
2025-10-14,Transaction at KFC,2061.92,Food,Credit Card,New York,Savings,Debit,Desktop,INR,Online Store,Yes,Tuesday,October,Morning
2025-10-13,Transaction at Netflix,4342.01,Entertainment,Net Banking,Chicago,Savings,Credit,ATM,INR,Subscription,Yes,Monday,October,Morning
2025-03-31,Transaction at Levis,3241.78,Clothing,UPI,Houston,Current,Credit,Mobile,INR,Restaurant,No,Monday,March,Morning
2025-07-29,Transaction at Lyft,1622.75,Transport,Credit Card,New York,Credit Card,Credit,ATM,INR,Service,Yes,Tuesday,July,Night
2025-08-22,Transaction at Netflix,2812.41,Entertainment,Cash,San Francisco,Savings,Credit,ATM,INR,Subscription,No,Friday,August,Night
2025-07-06,Transaction at Tesco,2570.48,Grocery,Debit Card,Los Angeles,Salary,Credit,ATM,INR,Subscription,No,Sunday,July,Afternoon
2025-01-13,Transaction at BigBazaar,434.92,Grocery,Cash,Chicago,Credit Card,Credit,Mobile,INR,Subscription,Yes,Monday,January,Evening
2025-05-07,Transaction at Target,1694.57,Grocery,Cash,Chicago,Current,Credit,POS Terminal,INR,Retail,No,Wednesday,May,Morning
2025-02-11,Transaction at Uber,4810.91,Transport,UPI,Houston,Savings,Debit,Desktop,INR,Subscription,Yes,Tuesday,February,Night
2025-09-06,Transaction at Uber,4585.59,Transport,Cash,Boston,Salary,Debit,POS Terminal,INR,Retail,No,Saturday,September,Afternoon
2025-01-11,Transaction at HP,1539.02,Electronics,UPI,Boston,Salary,Debit,POS Terminal,INR,Service,No,Saturday,January,Evening
2025-02-24,Transaction at Sony,28.59,Electronics,Debit Card,Los Angeles,Salary,Debit,Desktop,INR,Retail,Yes,Monday,February,Evening
2025-03-22,Transaction at YouTube Premium,3553.59,Entertainment,Debit Card,Los Angeles,Credit Card,Credit,ATM,INR,Subscription,Yes,Saturday,March,Afternoon
2025-06-05,Transaction at HP,1870.59,Electronics,Cash,Chicago,Credit Card,Credit,Mobile,INR,Service,Yes,Thursday,June,Afternoon
2025-11-09,Transaction at Amazon Prime,4664.04,Entertainment,Cash,Boston,Credit Card,Credit,Mobile,INR,Restaurant,No,Sunday,November,Morning
2025-03-08,Transaction at Adidas,1532.63,Clothing,Cash,New York,Salary,Debit,Desktop,INR,Retail,Yes,Saturday,March,Night
2025-10-11,Transaction at Target,4901.64,Grocery,Cash,Chicago,Savings,Credit,Desktop,INR,Restaurant,No,Saturday,October,Afternoon
2025-07-11,Transaction at Tesco,310.42,Grocery,Debit Card,Houston,Salary,Credit,POS Terminal,INR,Retail,No,Friday,July,Afternoon
2025-04-15,Transaction at Target,2201.72,Grocery,UPI,Houston,Salary,Credit,POS Terminal,INR,Online Store,Yes,Tuesday,April,Night
2025-08-18,Transaction at Costco,3325.78,Grocery,Net Banking,Chicago,Salary,Credit,POS Terminal,INR,Subscription,No,Monday,August,Morning
2025-04-14,Transaction at Adidas,33.37,Clothing,Debit Card,Houston,Current,Debit,POS Terminal,INR,Online Store,Yes,Monday,April,Afternoon
2025-01-28,Transaction at HP,2906.04,Electronics,Net Banking,Boston,Salary,Credit,Desktop,INR,Restaurant,Yes,Tuesday,January,Morning
2025-02-18,Transaction at Levis,4249.24,Clothing,Credit Card,San Francisco,Savings,Credit,Desktop,INR,Restaurant,Yes,Tuesday,February,Morning
2025-07-07,Transaction at McDonalds,3553.64,Food,Credit Card,Chicago,Savings,Credit,Desktop,INR,Online Store,Yes,Monday,July,Morning
2025-06-18,Transaction at BigBazaar,4997.5,Grocery,Cash,San Francisco,Credit Card,Credit,Desktop,INR,Subscription,Yes,Wednesday,June,Afternoon
2025-07-04,Transaction at Metro,1982.07,Transport,Credit Card,New York,Savings,Debit,Desktop,INR,Service,Yes,Friday,July,Evening
2025-08-01,Transaction at RedBus,3796.64,Transport,UPI,New York,Current,Credit,Desktop,INR,Retail,No,Friday,August,Evening
2025-07-25,Transaction at BigBazaar,3045.56,Grocery,Cash,Los Angeles,Salary,Debit,Desktop,INR,Restaurant,No,Friday,July,Morning
2025-10-25,Transaction at H&M,3965.6,Clothing,Cash,Houston,Salary,Credit,Desktop,INR,Subscription,No,Saturday,October,Morning
2025-02-15,Transaction at HP,531.29,Electronics,Credit Card,Houston,Salary,Credit,Desktop,INR,Restaurant,Yes,Saturday,February,Night
2025-12-24,Transaction at Disney+,1183.16,Entertainment,UPI,Houston,Credit Card,Debit,ATM,INR,Restaurant,Yes,Wednesday,December,Morning
2025-02-26,Transaction at Dell,474.15,Electronics,Debit Card,San Francisco,Salary,Debit,ATM,INR,Online Store,Yes,Wednesday,February,Evening
2025-10-09,Transaction at Adidas,2347.77,Clothing,Net Banking,Boston,Savings,Credit,ATM,INR,Restaurant,Yes,Thursday,October,Night
2025-06-30,Transaction at H&M,2395.84,Clothing,Net Banking,San Francisco,Current,Debit,Mobile,INR,Online Store,No,Monday,June,Afternoon
2025-02-04,Transaction at HP,3134.56,Electronics,Cash,Boston,Credit Card,Credit,POS Terminal,INR,Restaurant,Yes,Tuesday,February,Evening
2025-08-26,Transaction at Disney+,1277.2,Entertainment,UPI,Houston,Credit Card,Debit,ATM,INR,Retail,Yes,Tuesday,August,Evening
2025-02-15,Transaction at Samsung,3079.23,Electronics,Credit Card,Los Angeles,Current,Credit,Mobile,INR,Online Store,Yes,Saturday,February,Morning
2025-09-25,Transaction at Target,1608.19,Grocery,Net Banking,Boston,Current,Debit,Desktop,INR,Online Store,Yes,Thursday,September,Morning
2025-05-27,Transaction at Zara,3850.34,Clothing,Debit Card,San Francisco,Salary,Credit,Mobile,INR,Restaurant,Yes,Tuesday,May,Afternoon
2025-11-17,Transaction at Apple,3409.37,Electronics,Cash,San Francisco,Savings,Credit,Desktop,INR,Subscription,Yes,Monday,November,Night
2025-07-18,Transaction at Target,2414.63,Grocery,UPI,New York,Credit Card,Credit,Desktop,INR,Restaurant,No,Friday,July,Morning
2025-07-30,Transaction at Adidas,3551.99,Clothing,Credit Card,Boston,Current,Credit,POS Terminal,INR,Restaurant,Yes,Wednesday,July,Afternoon
2025-01-06,Transaction at Spotify,2224.13,Entertainment,Credit Card,Chicago,Savings,Debit,POS Terminal,INR,Service,Yes,Monday,January,Evening
2025-09-21,Transaction at Levis,1452.89,Clothing,Credit Card,New York,Current,Debit,Mobile,INR,Restaurant,Yes,Sunday,September,Afternoon
2025-04-12,Transaction at Target,610.46,Grocery,Cash,New York,Salary,Credit,ATM,INR,Service,No,Saturday,April,Afternoon
2025-08-17,Transaction at Samsung,763.17,Electronics,Net Banking,Boston,Credit Card,Credit,POS Terminal,INR,Retail,Yes,Sunday,August,Afternoon
2025-11-20,Transaction at Nike,1732.93,Clothing,Credit Card,New York,Savings,Debit,POS Terminal,INR,Subscription,Yes,Thursday,November,Night
2025-04-06,Transaction at Subway,4554.3,Food,Credit Card,San Francisco,Credit Card,Debit,POS Terminal,INR,Restaurant,No,Sunday,April,Morning
2025-02-07,Transaction at McDonalds,681.7,Food,UPI,New York,Current,Credit,ATM,INR,Online Store,No,Friday,February,Night
2025-09-27,Transaction at YouTube Premium,769.6,Entertainment,Credit Card,Houston,Savings,Credit,Desktop,INR,Service,Yes,Saturday,September,Evening
2025-05-01,Transaction at H&M,3883.33,Clothing,Cash,Chicago,Current,Debit,Mobile,INR,Subscription,Yes,Thursday,May,Evening
2025-05-15,Transaction at HP,2454.45,Electronics,Debit Card,New York,Salary,Debit,ATM,INR,Subscription,Yes,Thursday,May,Afternoon
2025-03-15,Transaction at Dominos,1643.42,Food,Credit Card,Los Angeles,Credit Card,Debit,ATM,INR,Restaurant,No,Saturday,March,Night
2025-05-08,Transaction at Uber,2674.79,Transport,UPI,Boston,Salary,Credit,Desktop,INR,Service,Yes,Thursday,May,Afternoon
2025-12-08,Transaction at Walmart,3278.63,Grocery,Cash,New York,Savings,Credit,Mobile,INR,Service,No,Monday,December,Night
2025-06-23,Transaction at Samsung,1519.38,Electronics,Cash,New York,Current,Debit,POS Terminal,INR,Online Store,Yes,Monday,June,Night
2025-07-31,Transaction at BigBazaar,4269.09,Grocery,Cash,Chicago,Salary,Debit,Desktop,INR,Subscription,No,Thursday,July,Night
2025-01-24,Transaction at Dell,4310.41,Electronics,UPI,Chicago,Savings,Debit,ATM,INR,Subscription,Yes,Friday,January,Afternoon
2025-12-16,Transaction at Apple,4559.13,Electronics,Net Banking,Boston,Salary,Credit,Mobile,INR,Restaurant,No,Tuesday,December,Morning
2025-04-10,Transaction at Nike,4195.01,Clothing,Net Banking,San Francisco,Savings,Credit,Mobile,INR,Subscription,Yes,Thursday,April,Morning
2025-02-12,Transaction at Adidas,3571.75,Clothing,Cash,Boston,Current,Debit,ATM,INR,Online Store,No,Wednesday,February,Afternoon
2025-10-08,Transaction at H&M,682.55,Clothing,Debit Card,San Francisco,Credit Card,Debit,ATM,INR,Restaurant,Yes,Wednesday,October,Afternoon
2025-07-13,Transaction at Nike,171.62,Clothing,Debit Card,Los Angeles,Current,Debit,Desktop,INR,Online Store,Yes,Sunday,July,Afternoon
2025-03-02,Transaction at H&M,4087.14,Clothing,Cash,Boston,Savings,Debit,ATM,INR,Retail,No,Sunday,March,Evening
2025-12-14,Transaction at Sony,3224.28,Electronics,Credit Card,Los Angeles,Salary,Debit,Mobile,INR,Restaurant,No,Sunday,December,Night
2025-07-13,Transaction at Target,3501.92,Grocery,Credit Card,Los Angeles,Current,Debit,ATM,INR,Restaurant,Yes,Sunday,July,Evening
2025-07-26,Transaction at Sony,208.33,Electronics,Debit Card,Boston,Salary,Debit,Desktop,INR,Subscription,Yes,Saturday,July,Night
2025-05-10,Transaction at YouTube Premium,444.0,Entertainment,Net Banking,New York,Current,Debit,Desktop,INR,Restaurant,No,Saturday,May,Afternoon
2025-03-30,Transaction at KFC,2457.54,Food,Credit Card,New York,Salary,Debit,ATM,INR,Online Store,No,Sunday,March,Morning
2025-03-28,Transaction at Lyft,549.56,Transport,Net Banking,Los Angeles,Credit Card,Credit,Desktop,INR,Online Store,No,Friday,March,Morning
2025-06-13,Transaction at Costco,2225.93,Grocery,Net Banking,Houston,Credit Card,Debit,Mobile,INR,Online Store,No,Friday,June,Morning
2025-07-20,Transaction at KFC,4260.12,Food,Credit Card,Houston,Credit Card,Debit,Mobile,INR,Retail,No,Sunday,July,Evening
2025-06-10,Transaction at Subway,2039.19,Food,Net Banking,Chicago,Salary,Debit,ATM,INR,Retail,No,Tuesday,June,Night
2025-04-05,Transaction at Spotify,4437.82,Entertainment,Debit Card,Boston,Salary,Credit,ATM,INR,Retail,Yes,Saturday,April,Evening
2025-11-08,Transaction at Dell,2779.86,Electronics,Credit Card,Chicago,Salary,Credit,Desktop,INR,Online Store,Yes,Saturday,November,Evening
2025-07-04,Transaction at Adidas,200.48,Clothing,UPI,Houston,Savings,Debit,ATM,INR,Service,Yes,Friday,July,Afternoon
2025-09-26,Transaction at Samsung,2057.88,Electronics,UPI,Boston,Current,Credit,Mobile,INR,Retail,Yes,Friday,September,Night
2025-01-21,Transaction at H&M,92.77,Clothing,Cash,Boston,Savings,Credit,Mobile,INR,Restaurant,No,Tuesday,January,Night
2025-08-06,Transaction at BigBazaar,3143.57,Grocery,Cash,Boston,Credit Card,Credit,Desktop,INR,Subscription,No,Wednesday,August,Afternoon
2025-06-08,Transaction at Nike,3866.66,Clothing,Cash,San Francisco,Current,Credit,ATM,INR,Service,Yes,Sunday,June,Morning
2025-12-28,Transaction at Uber,4572.1,Transport,Net Banking,Houston,Savings,Credit,POS Terminal,INR,Restaurant,Yes,Sunday,December,Morning
2025-11-01,Transaction at Sony,3103.79,Electronics,Cash,Los Angeles,Salary,Credit,Mobile,INR,Restaurant,Yes,Saturday,November,Night
2025-11-20,Transaction at Amazon Prime,4389.89,Entertainment,Credit Card,Boston,Savings,Debit,ATM,INR,Subscription,No,Thursday,November,Afternoon
2025-06-10,Transaction at Disney+,4352.47,Entertainment,UPI,Chicago,Salary,Credit,Desktop,INR,Service,Yes,Tuesday,June,Afternoon
2025-05-22,Transaction at Costco,4752.7,Grocery,Credit Card,Boston,Savings,Credit,ATM,INR,Retail,No,Thursday,May,Afternoon
2025-10-18,Transaction at H&M,1414.79,Clothing,Debit Card,San Francisco,Current,Credit,ATM,INR,Restaurant,No,Saturday,October,Night
2025-04-07,Transaction at Disney+,82.44,Entertainment,UPI,Los Angeles,Current,Debit,Desktop,INR,Retail,No,Monday,April,Evening
2025-03-27,Transaction at Adidas,2190.14,Clothing,Debit Card,Los Angeles,Current,Credit,POS Terminal,INR,Service,Yes,Thursday,March,Afternoon
2025-12-24,Transaction at Disney+,2054.49,Entertainment,UPI,Los Angeles,Current,Credit,ATM,INR,Subscription,No,Wednesday,December,Morning
2025-12-21,Transaction at Disney+,2298.74,Entertainment,Debit Card,San Francisco,Salary,Debit,Desktop,INR,Service,Yes,Sunday,December,Morning
2025-09-29,Transaction at H&M,4636.54,Clothing,Cash,New York,Credit Card,Credit,Desktop,INR,Restaurant,Yes,Monday,September,Night
2025-03-06,Transaction at KFC,2828.11,Food,UPI,San Francisco,Current,Credit,Mobile,INR,Subscription,No,Thursday,March,Night
2025-03-31,Transaction at Nike,4558.38,Clothing,Cash,Houston,Salary,Debit,Desktop,INR,Online Store,Yes,Monday,March,Evening
2025-01-30,Transaction at Levis,2636.97,Clothing,UPI,Houston,Current,Debit,POS Terminal,INR,Retail,Yes,Thursday,January,Afternoon
2025-03-24,Transaction at H&M,3763.53,Clothing,UPI,Houston,Salary,Credit,Mobile,INR,Retail,Yes,Monday,March,Night
2025-08-03,Transaction at Walmart,4800.59,Grocery,Credit Card,Boston,Salary,Credit,Mobile,INR,Restaurant,No,Sunday,August,Afternoon
2025-12-16,Transaction at RedBus,330.7,Transport,Cash,Los Angeles,Salary,Debit,POS Terminal,INR,Online Store,Yes,Tuesday,December,Afternoon
2025-05-05,Transaction at HP,2092.87,Electronics,Debit Card,Chicago,Credit Card,Debit,Desktop,INR,Subscription,No,Monday,May,Evening
2025-04-27,Transaction at McDonalds,384.23,Food,Net Banking,Chicago,Salary,Debit,ATM,INR,Restaurant,Yes,Sunday,April,Night
2025-07-20,Transaction at Levis,1409.26,Clothing,Net Banking,Boston,Current,Debit,Mobile,INR,Subscription,Yes,Sunday,July,Afternoon
2025-11-05,Transaction at Ola,4040.88,Transport,Debit Card,Houston,Salary,Credit,Desktop,INR,Online Store,Yes,Wednesday,November,Morning
2025-03-01,Transaction at Disney+,2774.29,Entertainment,UPI,New York,Current,Credit,POS Terminal,INR,Service,Yes,Saturday,March,Morning
2025-05-11,Transaction at Apple,3889.38,Electronics,Credit Card,Boston,Credit Card,Credit,Desktop,INR,Retail,No,Sunday,May,Night
2025-06-16,Transaction at McDonalds,1619.97,Food,Credit Card,Los Angeles,Current,Credit,Mobile,INR,Retail,No,Monday,June,Morning
2025-11-07,Transaction at HP,3774.22,Electronics,Credit Card,Houston,Savings,Credit,POS Terminal,INR,Subscription,Yes,Friday,November,Morning
2025-05-25,Transaction at Subway,610.02,Food,Debit Card,New York,Credit Card,Debit,Desktop,INR,Restaurant,Yes,Sunday,May,Morning
2025-10-17,Transaction at Lyft,565.33,Transport,UPI,New York,Current,Debit,POS Terminal,INR,Restaurant,No,Friday,October,Night
2025-06-27,Transaction at YouTube Premium,1149.83,Entertainment,UPI,Los Angeles,Current,Credit,Desktop,INR,Online Store,No,Friday,June,Afternoon
2025-10-03,Transaction at Levis,4746.28,Clothing,Cash,New York,Salary,Debit,POS Terminal,INR,Subscription,No,Friday,October,Evening
2025-05-24,Transaction at Dominos,4065.16,Food,Credit Card,San Francisco,Credit Card,Debit,Mobile,INR,Retail,No,Saturday,May,Night
2025-12-07,Transaction at Apple,3636.23,Electronics,Net Banking,San Francisco,Current,Credit,ATM,INR,Service,No,Sunday,December,Morning
2025-07-31,Transaction at Levis,12.73,Clothing,Net Banking,San Francisco,Savings,Debit,Mobile,INR,Retail,Yes,Thursday,July,Evening
2025-10-22,Transaction at Tesco,2800.86,Grocery,Cash,New York,Current,Credit,Desktop,INR,Online Store,No,Wednesday,October,Night
2025-02-22,Transaction at Spotify,3691.09,Entertainment,Cash,San Francisco,Current,Credit,POS Terminal,INR,Service,Yes,Saturday,February,Evening
2025-10-02,Transaction at Dominos,1467.04,Food,Credit Card,San Francisco,Salary,Debit,POS Terminal,INR,Online Store,Yes,Thursday,October,Evening
2025-03-08,Transaction at Walmart,669.91,Grocery,Debit Card,Los Angeles,Salary,Credit,Mobile,INR,Subscription,Yes,Saturday,March,Night
2025-06-24,Transaction at Apple,3654.44,Electronics,Debit Card,New York,Current,Credit,Mobile,INR,Online Store,Yes,Tuesday,June,Morning
2025-08-28,Transaction at Adidas,3773.35,Clothing,Cash,San Francisco,Savings,Credit,ATM,INR,Service,No,Thursday,August,Night
2025-06-08,Transaction at Samsung,2224.98,Electronics,UPI,Boston,Salary,Debit,Mobile,INR,Service,Yes,Sunday,June,Afternoon
2025-01-27,Transaction at Costco,4990.05,Grocery,Credit Card,Chicago,Salary,Debit,ATM,INR,Online Store,Yes,Monday,January,Evening
2025-03-22,Transaction at Ola,2861.85,Transport,Credit Card,Houston,Current,Credit,Desktop,INR,Restaurant,No,Saturday,March,Evening
2025-11-12,Transaction at Dominos,561.5,Food,UPI,Los Angeles,Current,Credit,POS Terminal,INR,Service,No,Wednesday,November,Evening
2025-12-01,Transaction at Amazon Prime,1829.09,Entertainment,Credit Card,Boston,Salary,Credit,Mobile,INR,Retail,No,Monday,December,Night
2025-12-09,Transaction at Subway,4180.78,Food,Credit Card,Los Angeles,Current,Debit,Desktop,INR,Retail,Yes,Tuesday,December,Night
2025-12-12,Transaction at Uber,4692.19,Transport,Credit Card,Boston,Credit Card,Debit,Mobile,INR,Online Store,Yes,Friday,December,Morning
2025-08-19,Transaction at Starbucks,3152.07,Food,Debit Card,San Francisco,Salary,Credit,Desktop,INR,Service,No,Tuesday,August,Morning
2025-03-19,Transaction at Dell,4231.29,Electronics,Credit Card,Boston,Current,Credit,Mobile,INR,Online Store,Yes,Wednesday,March,Morning
2025-06-01,Transaction at Starbucks,1341.61,Food,Credit Card,New York,Salary,Credit,Mobile,INR,Online Store,No,Sunday,June,Evening
2025-06-28,Transaction at Costco,3818.07,Grocery,UPI,New York,Current,Debit,ATM,INR,Service,Yes,Saturday,June,Afternoon
2025-08-09,Transaction at Amazon Prime,579.44,Entertainment,Cash,Houston,Salary,Debit,Desktop,INR,Service,No,Saturday,August,Evening
2025-03-07,Transaction at McDonalds,1237.52,Food,Cash,Los Angeles,Current,Debit,ATM,INR,Subscription,No,Friday,March,Morning
2025-07-13,Transaction at Lyft,3714.68,Transport,Credit Card,Houston,Savings,Credit,POS Terminal,INR,Subscription,No,Sunday,July,Morning
2025-08-01,Transaction at Walmart,3485.18,Grocery,Debit Card,Boston,Salary,Debit,Mobile,INR,Restaurant,Yes,Friday,August,Afternoon
2025-06-02,Transaction at YouTube Premium,4284.48,Entertainment,Cash,San Francisco,Salary,Credit,Desktop,INR,Subscription,No,Monday,June,Evening
2025-03-07,Transaction at Disney+,1061.21,Entertainment,Debit Card,Chicago,Salary,Debit,POS Terminal,INR,Service,No,Friday,March,Night
2025-04-14,Transaction at Disney+,1873.31,Entertainment,Cash,Chicago,Credit Card,Credit,Desktop,INR,Service,No,Monday,April,Evening
2025-01-13,Transaction at Netflix,3923.44,Entertainment,Debit Card,San Francisco,Savings,Debit,Desktop,INR,Retail,Yes,Monday,January,Evening
2025-02-19,Transaction at RedBus,2471.41,Transport,Debit Card,Chicago,Credit Card,Debit,ATM,INR,Online Store,No,Wednesday,February,Evening
2025-08-05,Transaction at Apple,2306.35,Electronics,Cash,Los Angeles,Credit Card,Debit,Mobile,INR,Subscription,Yes,Tuesday,August,Morning
2025-04-22,Transaction at Dell,4241.13,Electronics,UPI,Los Angeles,Salary,Debit,Desktop,INR,Subscription,No,Tuesday,April,Morning
2025-11-22,Transaction at Netflix,1873.05,Entertainment,Debit Card,Los Angeles,Credit Card,Credit,POS Terminal,INR,Subscription,Yes,Saturday,November,Morning
2025-10-29,Transaction at Apple,2037.96,Electronics,UPI,San Francisco,Credit Card,Debit,POS Terminal,INR,Retail,No,Wednesday,October,Afternoon
2025-02-20,Transaction at Dell,2014.23,Electronics,Credit Card,New York,Salary,Credit,POS Terminal,INR,Service,No,Thursday,February,Evening
2025-03-19,Transaction at Subway,497.6,Food,Net Banking,Houston,Current,Debit,ATM,INR,Service,No,Wednesday,March,Evening
