Date,Description,Amount,Category,PaymentMethod,MerchantType,Month
19-03-2025,Dell,4231.29,Electronics,Credit Card,Online Store,March
01-06-2025,Starbucks,1341.61,Food,Credit Card,Online Store,June
28-06-2025,Costco,3818.07,Grocery,UPI,Service,June
09-08-2025,Amazon Prime,579.44,Entertainment,Cash,Service,August
07-03-2025,McDonalds,1237.52,Food,Cash,Subscription,March
13-07-2025,Lyft,3714.68,Transport,Credit Card,Subscription,July
01-08-2025,Walmart,3485.18,Grocery,Debit Card,Restaurant,August
02-06-2025,YouTube Premium,4284.48,Entertainment,Cash,Subscription,June
07-03-2025,Disney+,1061.21,Entertainment,Debit Card,Service,March
14-04-2025,Disney+,1873.31,Entertainment,Cash,Service,April
13-01-2025,Netflix,3923.44,Entertainment,Debit Card,Retail,January
19-02-2025,RedBus,2471.41,Transport,Debit Card,Online Store,February
05-08-2025,Apple,2306.35,Electronics,Cash,Subscription,August
22-04-2025,Dell,4241.13,Electronics,UPI,Subscription,April
22-11-2025,Netflix,1873.05,Entertainment,Debit Card,Subscription,November
29-10-2025,Apple,2037.96,Electronics,UPI,Retail,October
20-02-2025,Dell,2014.23,Electronics,Credit Card,Service,February
19-03-2025,Subway,497.6,Food,Net Banking,Service,March
16-09-2025,Ola,3874.79,Transport,Cash,Restaurant,September
05-02-2025,Disney+,1864.72,Entertainment,UPI,Retail,February
13-06-2025,Nike,1137.06,Clothing,Debit Card,Online Store,June
13-05-2025,Walmart,1952.99,Grocery,Net Banking,Subscription,May
11-11-2025,Target,3015.5,Grocery,Credit Card,Restaurant,November
10-07-2025,Adidas,1596.07,Clothing,UPI,Online Store,July
18-12-2025,Starbucks,4733.27,Food,UPI,Retail,December
07-07-2025,Metro,1763.71,Transport,UPI,Subscription,July
05-04-2025,Uber,4833.4,Transport,Cash,Restaurant,April
23-10-2025,YouTube Premium,2745.2,Entertainment,UPI,Service,October
07-09-2025,Walmart,1685.31,Grocery,Net Banking,Service,September
16-09-2025,Apple,1954,Electronics,Credit Card,Retail,September
16-08-2025,Nike,2163.57,Clothing,Cash,Restaurant,August
18-04-2025,Nike,3475.77,Clothing,Cash,Retail,April
19-10-2025,Levis,1464.21,Clothing,Debit Card,Restaurant,October
19-01-2025,Samsung,29.04,Electronics,Cash,Restaurant,January
14-10-2025,Apple,1646.4,Electronics,Cash,Online Store,October
04-10-2025,Adidas,33.65,Clothing,Net Banking,Restaurant,October
26-07-2025,Walmart,840.98,Grocery,Debit Card,Online Store,July
02-11-2025,Netflix,4665.9,Entertainment,Net Banking,Restaurant,November
29-01-2025,Disney+,1085.69,Entertainment,Cash,Service,January
21-12-2025,BigBazaar,2993,Grocery,Debit Card,Online Store,December
24-05-2025,Tesco,2252.54,Grocery,UPI,Online Store,May
08-07-2025,Nike,4852.49,Clothing,Net Banking,Retail,July
06-04-2025,BigBazaar,1427.25,Grocery,Net Banking,Retail,April
27-08-2025,YouTube Premium,4643,Entertainment,Cash,Online Store,August
24-02-2025,Netflix,4395.26,Entertainment,Credit Card,Online Store,February
28-06-2025,Apple,3153.88,Electronics,Credit Card,Service,June
15-08-2025,Tesco,568.81,Grocery,Cash,Restaurant,August
12-02-2025,KFC,3295.96,Food,Credit Card,Online Store,February
01-08-2025,Levis,3323.96,Clothing,Credit Card,Service,August
23-05-2025,Costco,3497.26,Grocery,Net Banking,Online Store,May
04-08-2025,Tesco,3854.35,Grocery,UPI,Subscription,August
13-06-2025,RedBus,2668.48,Transport,Net Banking,Subscription,June
07-12-2025,Dell,4051.52,Electronics,Debit Card,Subscription,December
22-08-2025,Zara,1906.5,Clothing,Credit Card,Retail,August
17-03-2025,Walmart,2783.61,Grocery,Debit Card,Online Store,March
28-11-2025,RedBus,3778.53,Transport,UPI,Subscription,November
08-08-2025,BigBazaar,2721.75,Grocery,Net Banking,Online Store,August
12-07-2025,Spotify,2333.57,Entertainment,Debit Card,Online Store,July
23-10-2025,Metro,3527.44,Transport,Net Banking,Online Store,October
16-08-2025,Nike,421.5,Clothing,Cash,Online Store,August
24-06-2025,Starbucks,3811.27,Food,Net Banking,Subscription,June
21-12-2025,McDonalds,2016.57,Food,Cash,Restaurant,December
06-06-2025,Target,3528.7,Grocery,Debit Card,Subscription,June
05-11-2025,Adidas,2462.16,Clothing,Cash,Service,November
25-11-2025,H&M,1672.36,Clothing,Debit Card,Service,November
02-10-2025,Disney+,4945.01,Entertainment,Credit Card,Service,October
20-09-2025,Ola,4092.96,Transport,Net Banking,Restaurant,September
24-09-2025,YouTube Premium,304.73,Entertainment,Net Banking,Online Store,September
30-12-2025,Samsung,4741,Electronics,Debit Card,Retail,December
11-05-2025,Tesco,2656.29,Grocery,Cash,Service,May
06-04-2025,Nike,992.26,Clothing,Cash,Subscription,April
28-10-2025,Lyft,2948.33,Transport,Cash,Service,October
11-09-2025,Dominos,1894.57,Food,Net Banking,Subscription,September
17-03-2025,BigBazaar,2613.17,Grocery,Net Banking,Service,March
07-10-2025,Ola,927.25,Transport,Credit Card,Subscription,October
29-04-2025,Amazon Prime,4056.2,Entertainment,Cash,Retail,April
10-02-2025,HP,3236.15,Electronics,Net Banking,Retail,February
28-05-2025,Target,2272.67,Grocery,Debit Card,Online Store,May
24-07-2025,Sony,1198.07,Electronics,Debit Card,Service,July
23-03-2025,Disney+,1196.37,Entertainment,Credit Card,Restaurant,March
15-02-2025,Dominos,3370.24,Food,UPI,Service,February
17-10-2025,Dell,1075.21,Electronics,Credit Card,Subscription,October
19-01-2025,Lyft,2116.77,Transport,Debit Card,Restaurant,January
01-04-2025,Samsung,1122.34,Electronics,Cash,Retail,April
05-03-2025,Ola,4313.19,Transport,Credit Card,Service,March
07-10-2025,Adidas,2686.41,Clothing,UPI,Service,October
08-07-2025,Metro,1941.83,Transport,Debit Card,Retail,July
15-10-2025,Dell,4840.87,Electronics,Cash,Online Store,October
18-07-2025,Amazon Prime,2985.54,Entertainment,Cash,Subscription,July
03-12-2025,Metro,3648.43,Transport,Credit Card,Service,December
05-11-2025,HP,1574.47,Electronics,Net Banking,Retail,November
12-04-2025,Starbucks,717.35,Food,Credit Card,Online Store,April
09-11-2025,Metro,2564.09,Transport,Cash,Subscription,November
07-08-2025,Adidas,715.63,Clothing,Credit Card,Restaurant,August
08-07-2025,Uber,4058.83,Transport,Cash,Subscription,July
01-11-2025,Dominos,4466.81,Food,Cash,Subscription,November
14-07-2025,Apple,3123.44,Electronics,Net Banking,Retail,July
07-12-2025,Uber,1411.43,Transport,Credit Card,Restaurant,December
28-05-2025,McDonalds,779.19,Food,Credit Card,Service,May
18-03-2025,Dell,1052.04,Electronics,Cash,Retail,March
18-02-2025,Dell,399.7,Electronics,Cash,Retail,February
03-06-2025,Dell,2454.3,Electronics,Credit Card,Service,June
25-08-2025,Spotify,753.68,Entertainment,Cash,Online Store,August
19-01-2025,HP,2112.44,Electronics,Debit Card,Restaurant,January
14-12-2025,BigBazaar,1481.98,Grocery,Net Banking,Online Store,December
25-01-2025,McDonalds,4499.59,Food,Debit Card,Restaurant,January
04-05-2025,Samsung,2101.25,Electronics,Credit Card,Online Store,May
01-02-2025,Tesco,1374.16,Grocery,Cash,Service,February
28-09-2025,Lyft,870.51,Transport,Net Banking,Retail,September
10-04-2025,Adidas,1014.16,Clothing,Credit Card,Subscription,April
27-05-2025,Levis,2086.36,Clothing,UPI,Subscription,May
15-09-2025,McDonalds,2046.88,Food,Net Banking,Service,September
07-05-2025,Netflix,4968.52,Entertainment,UPI,Subscription,May
04-07-2025,Sony,420.63,Electronics,Debit Card,Retail,July
18-02-2025,H&M,1754.63,Clothing,Cash,Retail,February
15-09-2025,BigBazaar,321.71,Grocery,Net Banking,Subscription,September
10-04-2025,Ola,3747.38,Transport,Cash,Retail,April
19-11-2025,Apple,4906.84,Electronics,Credit Card,Service,November
22-07-2025,YouTube Premium,1829.17,Entertainment,Net Banking,Restaurant,July
06-02-2025,Costco,1896.93,Grocery,Cash,Service,February
31-10-2025,Samsung,3528.16,Electronics,Cash,Online Store,October
02-11-2025,Starbucks,4073.76,Food,UPI,Service,November
07-01-2025,Levis,4514.96,Clothing,Net Banking,Service,January
07-05-2025,Nike,2750.16,Clothing,Net Banking,Online Store,May
01-07-2025,Amazon Prime,2854.37,Entertainment,Credit Card,Online Store,July
22-01-2025,Costco,3359.27,Grocery,Cash,Subscription,January
10-01-2025,Amazon Prime,1283.26,Entertainment,Net Banking,Service,January
25-09-2025,Uber,1290.52,Transport,Net Banking,Service,September
12-10-2025,Tesco,2715.66,Grocery,Cash,Restaurant,October
20-10-2025,Walmart,4865.54,Grocery,Credit Card,Restaurant,October
23-08-2025,Zara,4957.89,Clothing,Net Banking,Online Store,August
24-10-2025,Starbucks,2415.58,Food,Cash,Restaurant,October
04-06-2025,Netflix,4446.67,Entertainment,Credit Card,Retail,June
01-05-2025,Subway,497.69,Food,Cash,Retail,May
17-01-2025,Target,118.81,Grocery,UPI,Restaurant,January
19-10-2025,Dominos,4271.32,Food,Debit Card,Online Store,October
15-01-2025,Levis,2184.58,Clothing,UPI,Online Store,January
13-10-2025,Disney+,4159.88,Entertainment,Net Banking,Service,October
29-04-2025,McDonalds,4228.29,Food,UPI,Subscription,April
23-04-2025,Netflix,609.48,Entertainment,UPI,Service,April
05-08-2025,Amazon Prime,1070.78,Entertainment,Debit Card,Online Store,August
02-05-2025,Adidas,4670.53,Clothing,Cash,Retail,May
26-04-2025,Dell,1460.59,Electronics,Credit Card,Subscription,April
04-08-2025,Costco,3361.64,Grocery,Net Banking,Online Store,August
23-04-2025,Starbucks,2352.03,Food,Debit Card,Service,April
20-08-2025,Apple,1601.2,Electronics,Debit Card,Online Store,August
25-05-2025,RedBus,2441.48,Transport,Credit Card,Retail,May
15-04-2025,Netflix,1442.27,Entertainment,Debit Card,Service,April
17-01-2025,Levis,2257.28,Clothing,Net Banking,Online Store,January
04-10-2025,BigBazaar,4193.91,Grocery,Debit Card,Subscription,October
04-01-2025,Costco,3758.53,Grocery,UPI,Retail,January
22-05-2025,Uber,560.32,Transport,UPI,Subscription,May
09-10-2025,KFC,4569.44,Food,Net Banking,Subscription,October
01-03-2025,Sony,331.29,Electronics,Net Banking,Restaurant,March
31-01-2025,Dell,2840.75,Electronics,Net Banking,Online Store,January
28-03-2025,Lyft,4387.17,Transport,UPI,Restaurant,March
23-09-2025,HP,875.46,Electronics,Debit Card,Subscription,September
16-10-2025,Starbucks,3130.6,Food,UPI,Online Store,October
20-10-2025,Uber,3727.08,Transport,UPI,Service,October
03-03-2025,Metro,4988.35,Transport,Debit Card,Subscription,March
22-07-2025,KFC,3479.24,Food,Credit Card,Subscription,July
13-08-2025,Apple,601.38,Electronics,Credit Card,Online Store,August
15-07-2025,Zara,4935.56,Clothing,Cash,Service,July
23-09-2025,Uber,3529.69,Transport,Credit Card,Online Store,September
08-10-2025,McDonalds,2452.93,Food,Debit Card,Service,October
30-04-2025,KFC,1757.33,Food,Cash,Service,April
02-03-2025,Adidas,529.41,Clothing,UPI,Restaurant,March
25-02-2025,Metro,1675.57,Transport,Credit Card,Retail,February
07-03-2025,Amazon Prime,1558.45,Entertainment,Debit Card,Service,March
22-08-2025,Target,2113.89,Grocery,Net Banking,Service,August
12-02-2025,Costco,3627.12,Grocery,Cash,Service,February
24-03-2025,Dell,4519.61,Electronics,Cash,Subscription,March
18-03-2025,Samsung,3401.95,Electronics,Cash,Service,March
10-04-2025,Levis,1784.21,Clothing,Cash,Restaurant,April
21-03-2025,Walmart,3268.68,Grocery,Debit Card,Subscription,March
12-04-2025,H&M,172.02,Clothing,UPI,Online Store,April
17-03-2025,HP,1641.18,Electronics,UPI,Online Store,March
05-11-2025,Uber,3902.45,Transport,Cash,Restaurant,November
25-11-2025,Nike,4977.26,Clothing,UPI,Service,November
14-11-2025,Starbucks,3843.26,Food,Net Banking,Online Store,November
18-11-2025,Adidas,2741.32,Clothing,Credit Card,Retail,November
25-08-2025,KFC,571.84,Food,Cash,Service,August
23-10-2025,YouTube Premium,3916.21,Entertainment,Credit Card,Restaurant,October
03-09-2025,Starbucks,2419.88,Food,Net Banking,Online Store,September
19-09-2025,Tesco,4226.26,Grocery,Cash,Restaurant,September
10-12-2025,Metro,1235.96,Transport,Debit Card,Retail,December
16-03-2025,Disney+,3422.21,Entertainment,Cash,Online Store,March
15-10-2025,RedBus,2115.69,Transport,Credit Card,Restaurant,October
12-03-2025,Dominos,2378.25,Food,Credit Card,Restaurant,March
06-02-2025,Levis,3730.41,Clothing,Net Banking,Service,February
23-04-2025,Nike,3667.72,Clothing,Net Banking,Online Store,April
06-07-2025,Starbucks,3259.81,Food,Net Banking,Service,July
30-12-2025,Nike,1038.38,Clothing,UPI,Online Store,December
16-01-2025,Dominos,2436.95,Food,Debit Card,Online Store,January
07-11-2025,Ola,1481.34,Transport,Credit Card,Retail,November
28-04-2025,KFC,1200.26,Food,Net Banking,Service,April
18-08-2025,BigBazaar,4628.17,Grocery,Cash,Online Store,August
27-11-2025,McDonalds,4679.96,Food,Cash,Subscription,November
02-11-2025,Costco,3003.06,Grocery,Debit Card,Online Store,November
22-02-2025,Nike,746.18,Clothing,Credit Card,Subscription,February
03-04-2025,Adidas,4117.55,Clothing,Credit Card,Service,April
06-12-2025,Dominos,3706.54,Food,Cash,Subscription,December
22-07-2025,Uber,3456.51,Transport,Credit Card,Retail,July
30-09-2025,Uber,4701.46,Transport,Credit Card,Retail,September
04-09-2025,H&M,3280.05,Clothing,Net Banking,Retail,September
15-02-2025,Walmart,884.12,Grocery,Debit Card,Online Store,February
02-02-2025,Target,4779.38,Grocery,Credit Card,Restaurant,February
26-08-2025,Lyft,2714.38,Transport,Net Banking,Retail,August
24-04-2025,Target,1686.75,Grocery,Debit Card,Retail,April
29-05-2025,Ola,184.5,Transport,UPI,Service,May
17-06-2025,BigBazaar,3338.89,Grocery,UPI,Restaurant,June
10-12-2025,Apple,108.44,Electronics,Cash,Subscription,December
06-05-2025,HP,1525.17,Electronics,Credit Card,Restaurant,May
21-10-2025,Tesco,2288.07,Grocery,Cash,Retail,October
31-10-2025,Ola,1709.32,Transport,Debit Card,Service,October
23-10-2025,Ola,2506.35,Transport,Credit Card,Restaurant,October
20-11-2025,H&M,2465.4,Clothing,Credit Card,Online Store,November
18-08-2025,Levis,2318.05,Clothing,Credit Card,Online Store,August
04-11-2025,Walmart,2248.41,Grocery,Net Banking,Restaurant,November
16-05-2025,Starbucks,1875.1,Food,Debit Card,Subscription,May
13-03-2025,BigBazaar,3044.22,Grocery,Cash,Retail,March
09-02-2025,Costco,1692.63,Grocery,Debit Card,Restaurant,February
16-04-2025,Walmart,4711.97,Grocery,UPI,Service,April
17-10-2025,Disney+,3865.77,Entertainment,Debit Card,Restaurant,October
31-12-2025,Metro,999.01,Transport,Net Banking,Subscription,December
22-01-2025,BigBazaar,821.33,Grocery,Debit Card,Subscription,January
31-08-2025,Dell,2379.92,Electronics,Debit Card,Subscription,August
04-05-2025,Disney+,2593.37,Entertainment,UPI,Subscription,May
18-08-2025,Disney+,2376.72,Entertainment,Net Banking,Subscription,August
07-07-2025,Nike,3529.8,Clothing,Cash,Restaurant,July
28-01-2025,Apple,209.79,Electronics,Debit Card,Service,January
15-10-2025,Adidas,4758.51,Clothing,Credit Card,Service,October
29-12-2025,Ola,4488.49,Transport,Credit Card,Restaurant,December
07-06-2025,Tesco,3660.54,Grocery,Cash,Restaurant,June
25-11-2025,HP,2318.88,Electronics,Cash,Retail,November
26-11-2025,Metro,3099.76,Transport,Net Banking,Subscription,November
29-11-2025,Dell,4216.77,Electronics,Debit Card,Restaurant,November
25-11-2025,HP,669.95,Electronics,Cash,Online Store,November
23-07-2025,Samsung,4435.02,Electronics,Credit Card,Online Store,July
04-08-2025,Amazon Prime,3076.57,Entertainment,UPI,Service,August
04-03-2025,KFC,4916.62,Food,Cash,Subscription,March
30-03-2025,RedBus,2028.69,Transport,Cash,Retail,March
31-08-2025,H&M,1606.75,Clothing,Credit Card,Service,August
21-03-2025,Apple,963.54,Electronics,UPI,Online Store,March
10-09-2025,BigBazaar,3917.74,Grocery,Debit Card,Retail,September
10-09-2025,Disney+,68.25,Entertainment,Credit Card,Restaurant,September
01-09-2025,KFC,1781.76,Food,UPI,Service,September
